Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,"89,52021424","75,80556079","70,90915243","74,31337177","85,49824259","98,4864177","104,3241848","96,58917883","91,4723839","100,1295372","113,1625778","118,654144","131,8855585","157,0891109","160,1476879","178,3396141","165,4042624","185,4205374","156,3963885","183,9831522","194,8047222","197,0714745","203,3349195","225,4319289","250,713969","294,4588485","281,9281209","251,811957","283,5376952","310,8819124","317,884673","333,1421454","366,4606923","377,3898395","473,4899164","609,6043379","709,4158882","781,7425612","828,594691","873,2923363","959,3604314","1053,112314","1148,514257","1288,637491","1508,667916","1753,414192","2099,21943","2693,958732","3468,327063","3832,227457","4550,473944","5614,386022","6300,58218","7020,386074","7636,07434","8016,445595","8094,390167","8817,045608","9905,406383","10143,86022","10408,71955","12617,5051","12662,58267","12614,06174"
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,"258,3044336","282,0994405","298,5438617","282,5883303","338,6759353","317,0645634","290,253386","302,8325078","301,5265028","317,8687981","345,8791016","366,8251679","397,4121174","462,0643757","541,7499016","561,0980361","643,0079145","798,2030216","932,3926951","1095,031384","1279,501167","1362,183325","1425,399368","1383,792461","1335,528218","1192,218775","1169,462121","1192,588286","1259,617411","1244,326946","1474,845529","1499,711042","1729,663973","1930,059765","2325,975573","2583,349914","2664,456256","2873,200188","2605,999381","2243,64205","2555,00751","2472,99084","2428,929698","2311,942188","2818,571954","3456,066109","3789,853612","4769,926147","5541,836297","5250,972924","6398,295845","7400,99407","8108,598382","8279,102556","8187,208249","6248,514905","5959,842504","6479,532313","6816,968183","6472,545449","5339,687114","6222,621644","6674,596019","6947,359287"
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,"220,0745502","197,0803952","235,1272906","376,38337","169,9492598","232,0373974","252,7703618","183,2910865","205,6459958","257,1446367","242,2197598","270,336629","290,5118033","360,5625916","428,0749545","444,6938995","408,422391","509,4883687","615,0841953","582,0894322","538,9118394","455,912227","481,7409782","376,2854799","259,8018895","230,1322552","250,900914","230,0864158","257,7251517","254,2310379","254,8726563","239,6247728","209,1882526","263,3732745","136,5425725","127,0080787","127,4160884","132,3235611","131,4613484","96,31922435","377,9254215","142,6781426","162,3805291","161,4915535","180,664765","203,5616689","238,4176394","267,8885088","307,3196386","280,7980515","314,5385863","364,7141918","400,0599018","431,1915282","458,0045418","467,9145805","442,3104721","436,5845347","528,2560198","557,0441613","507,5212301","558,0340773","642,6122658","627,5021817"
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,"124,6596704","139,8720744","149,5912499","150,650752","158,0619645","164,1868928","177,5513442","185,6566036","190,8422573","195,4310236","196,7324156","223,5387238","276,2718495","353,3809938","369,9451839","471,4736282","452,5781472","448,1367824","502,7042514","670,2452231","932,6467155","1066,186777","1130,97081","1075,348258","1097,049586","1049,318214","872,0486976","1052,338935","984,3762858","1032,864975","1175,667091","1112,535212","1164,22443","1034,372008","661,9042737","769,6067948","898,7940502","804,3040501","660,3797751","776,4163497","1024,301591","854,5983144","905,5381355","1016,823634","1306,101363","1799,051584","2103,582138","2206,471019","2832,091778","2271,152192","2946,557981","3396,165058","3732,327373","3697,417059","3601,236581","2439,351894","2093,107286","2211,633099","2694,434132","2488,424667","1993,586672","2516,162551","2620,838043","2477,978455"
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,"382,3091218","355,8444479","335,221589","345,5053691","353,7108968","373,8356901","395,1524985","413,996506","444,8052569","477,0813467","535,5396797","570,3602295","638,8510116","768,9447174","817,0766914","936,9931967","1123,281791","1393,375138","1555,837161","1734,595602","2020,990675","1068,046722","1032,405482","1212,557653","1372,201498","1429,378364","1568,564097","1567,032051","1554,740485","1725,139362","1829,668709","2253,381915","2612,387565","2840,387065","3039,563286","3275,252564","3226,963956","3407,776129","3617,457567","3690,961548","3812,753883","3985,129845","4067,718514","4173,148564","4431,011721","4703,007218","5256,596409","6137,711999","6937,242616","6832,698299","8265,788203","9276,391075","10126,9991","10803,2402","10911,49788","11714,7106","12091,03016","12317,09028","12590,24938","12884,686","12394,0494","12838,11854","13625,90085","16942,02681"
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,"148,680789","162,2627644","163,0766797","185,076826","215,5062403","207,0448386","221,7863922","225,6209341","256,7687143","262,192286","268,9577336","280,3336602","312,9423481","405,5689795","474,2238614","574,6264059","660,5386182","855,6556914","1039,114983","1157,001398","1237,802168","985,5075479","849,4797054","737,4499687","708,9402522","694,9516915","877,1549568","929,611363","909,5341822","832,559838","885,6478422","827,2418892","844,9022238","804,1496572","581,8884686","740,4730999","1170,23622","1124,656749","1177,371338","1096,135206","936,6365413","924,727295","967,8158644","1111,171351","1199,825245","1197,74617","1230,430568","1367,538177","1583,970667","1540,453936","1553,54887","1596,628266","1546,946018","1786,15862","1991,365394","1814,718551","1862,595971","1964,299303","2130,866194","2141,768362","2179,729348","2455,981276","2308,706547","2530,846593"
Denmark,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,"1389,021394","1530,53779","1711,218138","1807,252792","2049,397243","2284,228505","2487,136271","2700,746379","2776,135445","3151,133243","3464,455183","3845,599068","4653,955879","6116,891992","6763,865929","7988,156133","8773,339616","9769,578643","11817,62509","13757,23437","13822,15784","12000,21038","11740,21991","11796,5692","11516,68216","12212,7874","17136,62974","21295,67686","22524,57926","21882,15175","26885,69942","27002,80577","29579,49136","27581,72411","29967,83039","35321,09808","35621,98781","32779,87905","33346,48843","33426,23811","30722,02518","30768,47755","33257,16226","40519,09749","46625,0501","48925,80767","52119,1788","58631,65664","64616,66576","58412,74724","58104,54456","61809,7379","58443,77471","61377,59406","62520,45097","53094,01336","54500,92604","57521,5515","61324,7665","59404,26632","60985,48856","69727,98737","68091,31911","68453,87693"
Dominican Republic,DOM,GDP per capita (current US$),NY.GDP.PCAP.CD,"205,7315099","193,9089888","236,8147","262,186358","277,2971582","233,1605742","250,8766915","256,2065974","259,5744384","287,6993057","337,6681237","368,3496477","427,2248464","490,3154953","595,3566778","713,1681691","762,778347","862,9760492","868,3973718","983,7397065","1180,180893","1288,465631","1376,268205","1499,955753","1843,524608","784,4888096","931,6595301","868,0875578","783,9131421","954,9145044","989,1639412","1345,846737","1558,297821","1722,41996","1891,670557","2109,169407","2270,865587","2448,893935","2607,854573","2620,889682","2831,458836","2935,893673","3065,603295","2383,261718","2451,691616","3878,312067","4055,142703","4649,645589","5026,840911","4977,798844","5484,646379","5834,705907","6025,725827","6149,027489","6512,507714","6819,932252","7174,823496","7499,692862","7934,981412","8164,220809","7162,291752","8472,47982","10109,5234","10717,62767"
Ecuador,ECU,GDP per capita (current US$),NY.GDP.PCAP.CD,"450,7763171","371,3951765","312,4354102","364,7435941","435,7634632","450,0497827","444,623112","453,6452859","445,2279892","520,8439846","465,0403198","434,4158803","487,9720472","578,9549308","953,8465583","1086,176151","1241,910985","1464,940584","1541,137604","1783,292806","2189,784177","2600,571528","2314,383545","1940,233932","1863,682135","1841,779055","1604,246981","1426,016292","1303,779061","1356,280456","1455,007485","1587,3605","1655,446132","1697,888841","1996,858948","2108,006982","2135,847937","2340,766","2284,015728","1575,302347","1382,234218","1791,303597","2059,158554","2315,622152","2586,209147","2909,02606","3243,670104","3478,924888","4194,757507","4053,363311","4520,30959","5153,691642","5634,083932","6109,290315","6405,799793","5976,159681","5917,637713","6233,322448","6303,918925","6205,057595","5463,645096","6075,802657","6540,998245","6609,804082"
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),NY.GDP.PCAP.CD,"156,3873909","162,8416373","142,409573","143,9283987","157,7165323","161,5671236","168,0543429","174,1030445","179,7740967","192,9649088","232,2724923","242,9710703","256,4828156","272,1827101","243,0614739","299,2175183","334,6099185","353,4038337","354,6742463","420,8582169","493,0535733","490,3087969","595,9188982","648,0136298","689,8076755","769,7551371","790,2017937","753,7222637","633,8393695","701,0377179","735,982935","622,829605","680,7992386","740,3342174","807,3035372","916,3266177","1008,976376","1146,201721","1212,822598","1268,309492","1366,092744","1295,137418","1116,828846","1031,275563","991,2556891","1104,803407","1298,979002","1547,741707","1896,215943","2161,639646","2455,081946","2590,643849","2996,067707","3025,525636","3133,391023","3306,981594","3270,628777","2395,103333","2484,703156","2962,98892","3511,11381","3827,354154","4233,307837","3457,456916"
Eswatini,SWZ,GDP per capita (current US$),NY.GDP.PCAP.CD,"101,5727998","121,7957188","127,0957664","146,3911314","171,6084098","180,9772256","192,74454","182,7733597","190,3865901","245,2339816","254,1611255","301,1191522","315,0284662","463,2516158","536,1610038","567,8848166","520,7996257","562,7115785","609,96065","713,9533051","908,3756018","925,3687125","843,0430069","842,7502034","726,3451186","509,8859515","611,2981582","764,752134","865,2515444","831,8471501","1277,69173","1273,012245","1361,81698","1397,265933","1461,364001","1750,754008","1619,191197","1705,398749","1546,515193","1501,664267","1668,974913","1467,538902","1351,865502","2060,184181","2581,241728","2945,363949","3035,061561","3180,861215","2999,828169","3239,757801","3992,951996","4312,342434","4347,995693","3910,063976","3740,692776","3393,533678","3223,920041","3831,425953","3986,105572","3894,329516","3442,321653","3926,486874","3852,085733","3610,608797"
